country,name,Year,Beer,Wine,Spirits,Other,Beer_Rank,Wine_Rank,Spirits_Rank,Other_Rank
afbfa,Burkina Faso,2010,10,3,3.1,83.8,165,118,157,7
octuv,Tuvalu,2010,10,15.5,74.5,0,166,62,15,127
asarm,Armenia,2010,9.7,5.3,84.9,0,167,100,8,160
afuga,Uganda,2010,9.4,0.1,1.9,88.6,168,173,164,4
octls,Timor-Leste,2010,9.3,75.9,14.8,0,169,1,129,120
afmwi,Malawi,2010,9.1,1.2,13.4,76.2,170,144,136,12
assyr,Syria,2010,8.5,27.9,63.5,0,171,35,27,115
afsdn,Sudan,2010,8,0,13.5,78.5,172,176,135,11
afnga,Nigeria,2010,8,0.4,0.9,90.7,173,162,167,3
asind,India,2010,6.8,0.1,93.1,0,174,172,3,137
afsle,Sierra Leone,2010,6.4,0.5,0.7,92.3,175,161,169,2
afgmb,Gambia,2010,5.6,0.7,0.3,93.5,176,156,172,1
asqat,Qatar,2010,1.2,13.9,84.6,0.3,177,67,9,80
nahti,Haiti,2010,0.2,0.2,99.6,0,178,168,1,140
asafg,Afghanistan,2010,0,0,0,0,179,175,177,133
afsom,Somalia,2010,0,0,0,0,180,177,178,123
assau,Saudi Arabia,2010,0,1.9,97.9,0.2,181,133,2,90
eusmr,San Marino,2010,0,0,0,0,182,178,179,106
aspak,Pakistan,2010,0,0,0,0,183,180,180,169
eumco,Monaco,2010,0,0,0,0,184,181,182,180
afmrt,Mauritania,2010,0,0,0,0,185,182,183,182
ocmhl,Marshall Islands,2010,0,0,0,0,186,183,184,183
asmdv,Maldives,2010,0,0,0,0,187,184,185,184
aflby,Libya,2010,0,0,0,0,188,185,186,188
occok,Cook Islands,2010,0,22.6,77.4,0,189,44,11,148
asbgd,Bangladesh,2010,0,0,0,0,190,190,189,157
nagrl,Greenland,2010,0,0,0,0,191,191,191,191
